"Bundesland";"Hauseigentum";"Wohnungseigentum";"Gemeinde- und Genossenschaftswohnung";"andere Hauptmiete";"sonstige"
"Burgenland";"65,5";"3";"15";"5,1";"11,5"
"Kärnten";"46,8";"7,6";"22,4";"11,3";"11,7"
"Niederösterreich";"55,6";"7,1";"16,8";"10,3";"10,2"
"Oberösterreich";"42,8";"8,7";"21,4";"13,2";"13,9"
"Salzburg";"35,7";"15,5";"15,6";"19,7";"13,5"
"Steiermark";"45";"11,7";"16";"17,4";"9,9"
"Tirol";"36,1";"16,9";"14,5";"18,7";"13,8"
"Vorarlberg";"40,5";"15,3";"13";"21,9";"9,4"
"Wien";"5,9";"13,4";"43";"32,7";"5"
"Österreich";"36,9";"11,0";"23,4";"18,6";"10,2"